application,init_time,exec_time,finit_time,e2e_time,max_memory_usage,function_init_time
rainbowcake_dna_visualization,496.8810578279267,20.0625952045134,,516.94365303244,75.1706629055007,419.3489492655809
rainbowcake_file_compression,79.54652482269502,10.335011820330969,,89.88153664302601,32.522458628841605,5.5883725574394205
rainbowcake_graph_bfs,297.281689860835,8.111988071570577,,305.3936779324056,43.12922465208747,218.8113904463842
rainbowcake_graph_mst,293.9742018779343,8.040985915492957,,302.01518779342723,42.97417840375587,216.5180801606514
rainbowcake_graph_pagerank,303.0383935742972,18.395120481927712,,321.4335140562249,43.19879518072289,221.9823051973519
rainbowcake_image_recognition,2140.394023668639,7290.006449704142,,9430.400473372782,590.0039447731756,1331.2558150733482
rainbowcake_markdown,133.7788129496403,37.03877697841726,,170.81758992805754,35.19964028776978,57.77801294120953
rainbowcake_sentiment_analysis,1461.7117058823528,95.83815686274508,,1557.549862745098,131.9294117647059,1372.545192344516
rainbowcake_video_processing,132.92119607843136,10009.38160784314,,10142.302803921568,399.1392156862745,29.395206227022058
faaslight4_price_ml_predict,2768.728705882353,90.18525490196079,,2858.913960784314,121.78235294117647,558.6485758463542
faaslight7_skimage_numpy,1482.2831960784315,240.3128823529412,,1722.5960784313725,118.74313725490197,1389.7109743604474
faaslight9_predict_wine_ml,4721.379019607843,394.5554117647059,,5115.93443137255,246.7980392156863,4568.4757017846205
faaslight9_train_wine_ml,4693.530840336135,1260.4900840336136,,5954.020924369748,247.00840336134453,4267.4462593142725
faaslight11_sentiment_analysis,4107.468897637796,8.88236220472441,,4116.3512598425195,198.96850393700788,4010.786981056994
faaslight15_bert_docker,3002.1989411764707,523.546137254902,,3525.7450784313723,774.1372549019608,1277.059730200674
